Artikelnummer;Artikelbez. D.;Artikelbez. E.;Bestellnr.;Artikelkat.Code;Produktgrp.Code;Status;Artikel-Land;Preiseinheit;Mengeneinheit;Anzahl VE;WaehrungsKZ;HEK-Monacor;UVP-Monacor;HEK-Monacor-Aen.;UVP-Monacor-Aen.;Brand-Bezeichnung;EAN-Code;Katalogseite;Katalogseite Neu;Gewicht per;Brutto-Gewicht;Netto-Gewicht;Zollcode;Analogartikel;Anz.Umverpackung;Anz.Exportkarton;EuroKZ;
ADP-DAI-2X0;Dante Adapter;Dante Adaptor;0259660;1;5;NEUHEIT;CN;0;STUECK;1;USD;129;169;0;0;ORG.MAKERS BRAND;9353345000022;WWW;;1;0,195;0,165;85176200000;;1;12;Nein;
ADP-DAO-0X1;Dante Adapter;Dante Adaptor;0259670;1;5;NEUHEIT;CN;0;STUECK;1;USD;99;129;0;0;ORG.MAKERS BRAND;9353345000039;WWW;;1;0,15;0,12;85176200000;;1;12;Nein;
ADP-DAO-0X2;Dante Adapter;Dante Adaptor;0259680;1;5;NEUHEIT;CN;0;STUECK;1;USD;129;169;0;0;ORG.MAKERS BRAND;9353345000046;WWW;;1;0,195;0,165;85176200000;;1;12;Nein;
ADP-USB-2X2;Dante Adapter;Dante Adaptor;0259690;1;5;NEUHEIT;CN;0;STUECK;1;USD;99;129;0;0;ORG.MAKERS BRAND;9353345000053;WWW;;1;0,115;0,085;85176200000;;1;12;Nein;
AES-5;Spezial-Funklautsprecher;Mini Extension Speaker;0130020;1;2;STANDARD;TW;0;STUECK;1;USD;14,9;28,9;0;0;MONACOR;4007754000559;C271;;1;0,22;0,185;85182100000;;1;50;Nein;
AES-6;Zusatzlautsprecher;Extension Speaker;0132300;1;2;STANDARD;TW;0;STUECK;1;USD;15,5;29,9;0;0;MONACOR;4007754235104;C271;;1;0,227;0,2;85182100000;;1;80;Nein;
AES-7;Zusatzlautsprecher;Extension Speaker;0131100;1;2;STANDARD;TW;0;STUECK;1;USD;18,3;35,9;0;0;MONACOR;4007754123920;C271;;1;0,36;0,32;85182100000;;1;40;Nein;
AH-101;Alu-Gehaeuse/Silber;Alu Utility Case/Silver;0330050;3;6;STANDARD;DE;0;STUECK;1;;5,9;10,49;0;0;MONACOR;4007754000641;C184;;1;0,176;0,162;85299049000;;1;50;Ja;
AH-101/SW;Alu-Gehaeuse/Schwarz;Alu Utility Case/Black;0333040;3;6;STANDARD;DE;0;STUECK;1;;7,2;12,99;0;0;MONACOR;4007754074383;C184;;1;0,175;0,159;85299049000;;1;50;Ja;
AH-102;Alu-Gehaeuse/Silber;Alu Utiity Case/Silver;0330060;3;6;STANDARD;DE;0;STUECK;1;;7,7;13,99;0;0;MONACOR;4007754000658;C184;;1;0,257;0,242;85299049000;;1;50;Ja;
AH-102/SW;Alu-Gehaeuse/Schwarz;Alu Utility Case/Black;0333050;3;6;STANDARD;DE;0;STUECK;1;;8,6;15,49;0;0;MONACOR;4007754074390;C184;;1;0,263;0,248;85299049000;;1;50;Ja;
AH-103;Alu-Gehaeuse/Silber;Alu Utility Case/Silver;0330070;3;6;STANDARD;DE;0;STUECK;1;;8,15;14,49;0;0;MONACOR;4007754000665;C184;;1;0,318;0,308;85299049000;;1;50;Ja;
AH-103/SW;Alu-Gehaeuse/Schwarz;Alu Utility Case/Black;0333060;3;6;STANDARD;DE;0;STUECK;1;;9,5;16,99;0;0;MONACOR;4007754074406;C184;;1;0,314;0,296;85299049000;;1;50;Ja;
AH-61;Alu-Gehaeuse/Silber;Alu Utility Case/Silver;0330080;3;6;STANDARD;DE;0;STUECK;1;;5,1;8,99;0;0;MONACOR;4007754000672;C184;;1;0,133;0,126;85299049000;;1;50;Nein;
AH-61/SW;Alu-Gehaeuse/Schwarz;Alu Utility Case/Black;0333010;3;6;STANDARD;DE;0;STUECK;1;;6,1;10,99;0;0;MONACOR;4007754074352;C184;;1;0,135;0,128;85299049000;;1;50;Nein;
AH-62;Alu-Gehaeuse/Silber;Alu Utility Case/Silver;0330090;3;6;STANDARD;DE;0;STUECK;1;;6,3;10,99;0;0;MONACOR;4007754000689;C184;;1;0,201;0,189;85299049000;;1;50;Nein;
AH-62/SW;Alu-Gehaeuse/Schwarz;Alu Utility Case/Black;0333020;3;6;STANDARD;DE;0;STUECK;1;;7,2;12,99;0;0;MONACOR;4007754074369;C184;;1;0,205;0,205;85299049000;;1;50;Nein;
